,buysell,datetime,exchange,filled_prx,filled_qty,symbol,symbol_base
0,BUY,00:00.8,XXX,2440.7,1.5,ETHUSDT.XXX,ETH
1,BUY,00:00.8,XXX,2440.7,1.3,ETHUSDT.XXX,ETH
2,BUY,00:00.8,XXX,2440.7,0.9,ETHUSDT.XXX,ETH
3,BUY,00:00.8,XXX,2440.7,1.4,ETHUSDT.XXX,ETH
4,BUY,00:00.8,XXX,2440.7,0.8,ETHUSDT.XXX,ETH
5,BUY,00:00.8,XXX,2440.7,4.1,ETHUSDT.XXX,ETH
6,BUY,00:00.9,XXX,66694.09,0.5,BTCUSDT.XXX,BTC
7,BUY,00:00.9,XXX,0.50229,810,XRPUSDT.XXX,XRP
8,BUY,00:00.9,XXX,0.50229,500,XRPUSDT.XXX,XRP
9,BUY,00:00.9,XXX,0.50229,191,XRPUSDT.XXX,XRP
10,BUY,00:00.9,XXX,0.50229,499,XRPUSDT.XXX,XRP
11,SELL,00:00.9,XXX,164.59,0.001,SOLUSD.XXX,SOL
12,SELL,00:00.9,XXX,66690.45,0.00074,BTCUSDT.XXX,BTC
13,SELL,00:00.9,XXX,2440.28,1.9998,ETHUSDT.XXX,ETH
14,SELL,00:01.0,XXX,2440.41,0.7177,ETHUSDT.XXX,ETH
15,SELL,00:01.0,XXX,2440.41,0.8999,ETHUSDT.XXX,ETH
16,SELL,00:01.2,YYY,2440.38,0.0035,ETHUSDT.YYY,ETH
17,SELL,00:01.3,YYY,2440.38,0.0122,ETHUSDT.YYY,ETH
18,SELL,00:01.3,YYY,2440.38,0.0708,ETHUSDT.YYY,ETH
19,SELL,00:01.3,YYY,2440.38,0.0708,ETHUSDT.YYY,ETH
20,SELL,00:01.3,YYY,2440.38,0.0685,ETHUSDT.YYY,ETH
21,SELL,00:01.4,YYY,2440.38,0.0071,ETHUSDT.YYY,ETH
22,SELL,00:01.4,YYY,2440.38,0.1407,ETHUSDT.YYY,ETH
23,SELL,00:01.4,YYY,2440.38,0.0082,ETHUSDT.YYY,ETH
24,SELL,00:01.4,YYY,2440.38,0.0439,ETHUSDT.YYY,ETH
25,SELL,00:01.4,YYY,2440.38,0.0082,ETHUSDT.YYY,ETH
26,SELL,00:01.4,YYY,2440.38,0.0634,ETHUSDT.YYY,ETH
27,SELL,00:01.4,YYY,2440.38,0.0053,ETHUSDT.YYY,ETH
28,SELL,00:01.4,YYY,2440.38,0.0045,ETHUSDT.YYY,ETH
29,SELL,00:01.5,YYY,2440.38,0.0097,ETHUSDT.YYY,ETH
30,SELL,00:01.6,YYY,2440.38,0.0106,ETHUSDT.YYY,ETH
31,SELL,00:01.7,YYY,2440.38,0.0071,ETHUSDT.YYY,ETH
32,SELL,00:01.8,YYY,2440.38,0.0096,ETHUSDT.YYY,ETH
33,BUY,00:01.9,XXX,2440.65,0.6982,ETHUSDT.XXX,ETH
34,BUY,00:01.9,XXX,2440.65,1.2997,ETHUSDT.XXX,ETH
35,BUY,00:01.9,XXX,2440.65,0.7998,ETHUSDT.XXX,ETH
36,BUY,00:01.9,XXX,2440.65,1.3997,ETHUSDT.XXX,ETH
37,BUY,00:01.9,XXX,2440.65,1.4997,ETHUSDT.XXX,ETH
38,SELL,00:02.1,YYY,2440.38,0.0097,ETHUSDT.YYY,ETH
39,SELL,00:02.2,YYY,2440.38,0.0072,ETHUSDT.YYY,ETH
40,SELL,00:02.3,XXX,2436.02,0.0187,ETHUSD.XXX,ETH
41,SELL,00:02.3,XXX,2436.02,1.0002,ETHUSD.XXX,ETH
42,SELL,00:02.3,YYY,2440.38,0.4665,ETHUSDT.YYY,ETH
43,SELL,00:02.4,YYY,2440.38,0.0211,ETHUSDT.YYY,ETH
44,SELL,00:02.5,YYY,2440.38,0.0163,ETHUSDT.YYY,ETH
45,SELL,00:02.6,YYY,2440.38,0.004,ETHUSDT.YYY,ETH
46,SELL,00:02.7,YYY,2440.38,0.0107,ETHUSDT.YYY,ETH
47,SELL,00:02.7,YYY,2440.38,0.0053,ETHUSDT.YYY,ETH
48,SELL,00:02.8,YYY,2440.38,0.0097,ETHUSDT.YYY,ETH
49,SELL,00:02.9,YYY,2440.38,0.0072,ETHUSDT.YYY,ETH
50,SELL,00:03.0,YYY,2440.38,0.0097,ETHUSDT.YYY,ETH
51,SELL,00:03.2,YYY,2440.38,1.001,ETHUSDT.YYY,ETH
52,BUY,00:03.7,XXX,0.50117,590,XRPUSD.XXX,XRP
53,SELL,00:03.7,XXX,0.50215,2000,XRPUSDT.XXX,XRP
54,SELL,00:03.7,XXX,0.50127,2000,XRPUSD.XXX,XRP
55,SELL,00:03.7,XXX,164.56,0.028,SOLUSD.XXX,SOL
56,SELL,00:03.7,XXX,2440.67,0.3992,ETHUSDT.XXX,ETH
57,BUY,00:03.8,XXX,0.5014,2000,XRPUSD.XXX,XRP
58,BUY,00:03.9,XXX,2435.89,0.9,ETHUSD.XXX,ETH
59,BUY,00:03.9,XXX,2435.89,0.5,ETHUSD.XXX,ETH
60,BUY,00:03.9,XXX,2435.89,1.1999,ETHUSD.XXX,ETH
61,SELL,00:04.1,XXX,0.50131,2000,XRPUSD.XXX,XRP
62,BUY,00:04.2,XXX,2440.42,1.5,ETHUSDT.XXX,ETH
63,BUY,00:04.2,XXX,2440.42,2,ETHUSDT.XXX,ETH
64,BUY,00:04.2,XXX,2440.42,1.4,ETHUSDT.XXX,ETH
65,BUY,00:04.2,XXX,2440.42,1.3,ETHUSDT.XXX,ETH
66,BUY,00:04.2,XXX,2440.42,0.3452,ETHUSDT.XXX,ETH
67,BUY,00:04.2,XXX,2440.42,0.9,ETHUSDT.XXX,ETH
68,BUY,00:04.6,XXX,0.50129,1320,XRPUSD.XXX,XRP
69,BUY,00:04.6,XXX,0.50129,213,XRPUSD.XXX,XRP
70,BUY,00:04.6,XXX,0.50129,22,XRPUSD.XXX,XRP
71,SELL,00:05.0,XXX,164.72,0.599,SOLUSDT.XXX,SOL
72,SELL,00:05.0,XXX,164.72,1.097,SOLUSDT.XXX,SOL
73,SELL,00:05.0,XXX,164.72,0.696,SOLUSDT.XXX,SOL
74,SELL,00:05.0,XXX,164.72,1.607,SOLUSDT.XXX,SOL
75,SELL,00:05.0,XXX,164.72,4.001,SOLUSDT.XXX,SOL
76,SELL,00:05.0,XXX,164.44,1.3,SOLUSD.XXX,SOL
77,SELL,00:05.0,XXX,164.44,0.48,SOLUSD.XXX,SOL
78,SELL,00:05.0,XXX,164.44,0.16,SOLUSD.XXX,SOL
79,SELL,00:05.0,XXX,164.44,0.481,SOLUSD.XXX,SOL
80,BUY,00:05.2,XXX,2440.18,0.4414,ETHUSDT.XXX,ETH
81,BUY,00:05.2,XXX,2440.18,0.1938,ETHUSDT.XXX,ETH
82,BUY,00:05.2,XXX,2440.18,0.5213,ETHUSDT.XXX,ETH
83,BUY,00:05.2,XXX,2440.18,7.9189,ETHUSDT.XXX,ETH
84,BUY,00:05.2,XXX,2440.18,0.2648,ETHUSDT.XXX,ETH
85,BUY,00:05.2,XXX,2435.45,1.2,ETHUSD.XXX,ETH
86,BUY,00:05.2,XXX,2435.45,0.5,ETHUSD.XXX,ETH
87,BUY,00:05.2,XXX,2435.45,1.5,ETHUSD.XXX,ETH
88,BUY,00:05.2,XXX,2440.18,0.6598,ETHUSDT.XXX,ETH
89,BUY,00:05.2,XXX,2435.45,1.1665,ETHUSD.XXX,ETH
90,SELL,00:05.3,XXX,2439.74,1.4999,ETHUSDT.XXX,ETH
91,SELL,00:05.3,XXX,2439.74,1.2999,ETHUSDT.XXX,ETH
92,SELL,00:05.3,XXX,2439.74,1.4003,ETHUSDT.XXX,ETH
93,SELL,00:05.3,XXX,2439.74,0.7999,ETHUSDT.XXX,ETH
